scheme,model,feature,family,gain
cold_cell,lgbm_full,te_drugcell_max,Screen history: in-fold mean ZIP,0.27832852220296495
random,lgbm_full,te_drugcell_max,Screen history: in-fold mean ZIP,0.25853878871157027
cold_pair,lgbm_full,te_drugcell_max,Screen history: in-fold mean ZIP,0.25807203167563414
cold_drug,lgbm_full,te_drugcell_max,Screen history: in-fold mean ZIP,0.24131223059878057
random,lgbm_full,te_drugcell_min,Screen history: in-fold mean ZIP,0.1498234729420357
cold_pair,lgbm_full,te_drugcell_min,Screen history: in-fold mean ZIP,0.14683974003918712
cold_cell,lgbm_full,te_drugcell_min,Screen history: in-fold mean ZIP,0.14421494912452262
cold_drug,lgbm_full,te_drugcell_min,Screen history: in-fold mean ZIP,0.14298855321667625
cold_cell,lgbm_chem_bio,lineage,Biology: tissue lineage,0.10752391789022274
cold_drug,lgbm_full,te_pair,Screen history: in-fold mean ZIP,0.09565418759700034
cold_pair,lgbm_full,te_pair,Screen history: in-fold mean ZIP,0.09310516705349077
random,lgbm_full,te_pair,Screen history: in-fold mean ZIP,0.09181581443215554
random,lgbm_chem_bio,lineage,Biology: tissue lineage,0.09178165059557834
cold_pair,lgbm_chem_bio,lineage,Biology: tissue lineage,0.09163967678194125
cold_drug,lgbm_chem_bio,lineage,Biology: tissue lineage,0.08205356639838009
cold_cell,lgbm_full,te_pair,Screen history: in-fold mean ZIP,0.08045592003435653
cold_drug,lgbm_full,te_drug_max,Screen history: in-fold mean ZIP,0.04094122210204686
random,lgbm_full,te_cell,Screen history: in-fold mean ZIP,0.037452631399353356
cold_pair,lgbm_full,te_cell,Screen history: in-fold mean ZIP,0.03640685615196947
cold_cell,lgbm_full,n_drugcell_min_log,Screen history: in-fold counts,0.03507990248193956
cold_drug,lgbm_full,te_cell,Screen history: in-fold mean ZIP,0.03491221620187215
cold_pair,lgbm_full,te_drug_max,Screen history: in-fold mean ZIP,0.03271088387727486
cold_cell,lgbm_full,te_drug_max,Screen history: in-fold mean ZIP,0.031782888684735194
random,lgbm_full,te_drug_max,Screen history: in-fold mean ZIP,0.030471244747694318
cold_pair,lgbm_full,n_drugcell_min_log,Screen history: in-fold counts,0.02937831934800073
random,lgbm_full,n_drugcell_min_log,Screen history: in-fold counts,0.02751422913281319
cold_cell,lgbm_full,te_cell,Screen history: in-fold mean ZIP,0.025970791585777694
cold_drug,lgbm_chem_bio,chem_logp_sum,Chemistry: descriptors & similarity,0.023347563704019487
cold_pair,lgbm_chem_bio,chem_logp_sum,Chemistry: descriptors & similarity,0.022783679095526393
random,lgbm_chem_bio,chem_logp_sum,Chemistry: descriptors & similarity,0.022327497762166318
cold_drug,lgbm_full,te_drug_min,Screen history: in-fold mean ZIP,0.022126192807223277
cold_cell,lgbm_chem_bio,chem_logp_sum,Chemistry: descriptors & similarity,0.02175253020025292
cold_cell,lgbm_full,te_drug_min,Screen history: in-fold mean ZIP,0.021328694795814267
cold_drug,lgbm_full,n_drugcell_min_log,Screen history: in-fold counts,0.021127179604671493
random,lgbm_full,te_drug_min,Screen history: in-fold mean ZIP,0.02095529021239131
cold_pair,lgbm_full,te_drug_min,Screen history: in-fold mean ZIP,0.02060775602760249
random,lgbm_chem_bio,chem_heavy_atoms_sum,Chemistry: descriptors & similarity,0.020119630819223824
cold_pair,lgbm_chem_bio,chem_aromatic_rings_sum,Chemistry: descriptors & similarity,0.02010640310811823
cold_drug,lgbm_chem_bio,chem_qed_sum,Chemistry: descriptors & similarity,0.019839445852094708
cold_drug,lgbm_chem_bio,chem_mol_wt_sum,Chemistry: descriptors & similarity,0.019582726509108885
random,lgbm_chem_bio,chem_aromatic_rings_sum,Chemistry: descriptors & similarity,0.019431300380705483
random,lgbm_chem_bio,chem_qed_sum,Chemistry: descriptors & similarity,0.01930906338464611
cold_cell,lgbm_chem_bio,chem_qed_sum,Chemistry: descriptors & similarity,0.019127572145571366
cold_pair,lgbm_chem_bio,chem_heavy_atoms_sum,Chemistry: descriptors & similarity,0.01908365970902687
random,lgbm_chem_bio,chem_mol_wt_sum,Chemistry: descriptors & similarity,0.019041515209503715
cold_cell,lgbm_chem_bio,chem_heavy_atoms_sum,Chemistry: descriptors & similarity,0.01887969157149237
cold_pair,lgbm_chem_bio,chem_qed_sum,Chemistry: descriptors & similarity,0.018878347046453265
cold_drug,lgbm_chem_bio,chem_aromatic_rings_sum,Chemistry: descriptors & similarity,0.018726047222183923
cold_pair,lgbm_chem_bio,chem_mol_wt_sum,Chemistry: descriptors & similarity,0.018669582923584078
cold_drug,lgbm_chem_bio,chem_heavy_atoms_sum,Chemistry: descriptors & similarity,0.01826452539925871
cold_drug,lgbm_chem_bio,chem_tpsa_sum,Chemistry: descriptors & similarity,0.01786276081619422
cold_cell,lgbm_chem_bio,chem_aromatic_rings_sum,Chemistry: descriptors & similarity,0.017689082889654432
