lineage,combinations,cell_lines,mean_zip,q25,median_zip,q75,share_synergistic
Bone,6513,4,5.34,0.07,3.84,9.39,0.2311
Lymphoid,25366,8,2.47,-2.23,0.87,5.25,0.1293
Myeloid,9775,2,0.77,-3.31,0.02,3.92,0.0899
Bowel,39666,12,-0.55,-4.11,-0.7,2.41,0.0415
Pleura,5646,2,-0.45,-3.65,-0.87,1.75,0.0423
Ovary/Fallopian Tube,34691,12,-0.92,-4.07,-0.96,1.66,0.0308
Lung,43868,13,-0.97,-3.91,-0.98,1.63,0.0263
Skin,46922,17,-0.82,-4.06,-0.98,2.03,0.0312
Prostate,11291,4,-1.08,-4.27,-1.17,1.68,0.0283
CNS/Brain,31767,7,-0.78,-4.34,-1.29,1.58,0.0508
Breast,33104,10,-1.47,-4.87,-1.58,1.46,0.0275
Kidney,40342,8,-2.0,-5.12,-1.97,0.68,0.019
Unknown,58398,14,-7.33,-20.59,-4.51,3.16,0.1029
